Account No,Hour,DayOfWeek,DayOfMonth,MonthOfYear,Third Party Name,Amount,Prediction,Risk Category
101531259.0,3,4,13,1,head,200.0,1.0,No Risk
101531259.0,8,0,10,4,tesco,76.39,1.0,No Risk
101531259.0,8,0,27,11,tesco,149.09,1.0,No Risk
101531259.0,8,5,12,8,tesco,95.92,1.0,No Risk
101531259.0,9,0,8,5,tesco,125.94,1.0,No Risk
101531259.0,9,0,31,7,brilliantbrushes,8.49,1.0,No Risk
101531259.0,9,6,3,12,brilliantbrushes,7.98,1.0,No Risk
101531259.0,10,0,5,6,fatface,47.5,1.0,No Risk
101531259.0,11,0,5,6,topshop,70.0,1.0,No Risk
101531259.0,11,1,8,8,matalan,150.5,1.0,No Risk
101531259.0,11,6,7,5,fivesensesart,39.97,1.0,No Risk
101531259.0,12,0,5,6,topshop,148.5,1.0,No Risk
101531259.0,12,2,22,2,tesco,100.65,1.0,No Risk
101531259.0,12,6,4,6,tesco,38.86,1.0,No Risk
101531259.0,13,0,6,2,tesco,154.23,-1.0,Medium Risk
101531259.0,13,0,12,6,tesco,104.0,1.0,No Risk
101531259.0,13,5,29,4,tesco,88.66,1.0,No Risk
101531259.0,13,6,20,8,tesco,127.54,-1.0,Medium Risk
101531259.0,14,5,4,11,tesco,73.32,1.0,No Risk
101531259.0,15,6,1,1,matalan,104.0,-1.0,Low Risk
101531259.0,16,6,1,1,topshop,99.5,-1.0,Low Risk
101531259.0,21,2,8,3,deliveroo,15.0,-1.0,Low Risk
104832000.0,10,6,12,2,tesco,77.94,1.0,No Risk
104832000.0,12,5,10,6,deliveroo,33.13,1.0,No Risk
104832000.0,12,6,16,7,tesco,41.2,1.0,No Risk
104832000.0,16,0,31,7,tesco,47.74,1.0,No Risk
104832000.0,16,2,16,8,tesco,18.08,1.0,No Risk
104832000.0,16,4,3,11,tesco,26.75,1.0,No Risk
104832000.0,17,4,28,4,tesco,34.09,1.0,No Risk
104832000.0,17,5,7,1,etsy,1.06,1.0,No Risk
104832000.0,18,0,19,6,tesco,54.17,1.0,No Risk
104832000.0,18,0,30,1,tesco,41.06,1.0,No Risk
104832000.0,18,1,2,5,tesco,106.27,1.0,No Risk
104832000.0,18,1,23,5,tesco,65.7,1.0,No Risk
104832000.0,18,1,27,6,tesco,33.64,1.0,No Risk
104832000.0,19,1,29,8,tesco,15.97,1.0,No Risk
105375973.0,5,4,17,2,etsy,48.86,1.0,No Risk
105375973.0,9,0,31,7,sportsdirect,53.11,1.0,No Risk
105375973.0,9,4,24,3,fatface,149.09,1.0,No Risk
105375973.0,10,0,4,9,selfridges,123.89,1.0,No Risk
105375973.0,10,3,26,1,blackwell's,31.95,1.0,No Risk
105375973.0,10,3,31,8,sportsdirect,44.06,1.0,No Risk
105375973.0,10,4,24,3,fatface,48.29,1.0,No Risk
105375973.0,10,4,24,3,topshop,96.56,1.0,No Risk
105375973.0,10,6,30,4,blackwell's,33.02,1.0,No Risk
105375973.0,12,2,5,7,fatface,135.04,1.0,No Risk
