,Account No,Hour,DayOfWeek,DayOfMonth,MonthOfYear,Third Party Account No,Third Party Name,Amount,Risk Category
0,101531259.0,3,4,13,1,,head,200.0,No Risk
1,101531259.0,8,0,10,4,,tesco,76.39,No Risk
2,101531259.0,8,0,27,11,,tesco,149.09,No Risk
3,101531259.0,8,5,12,8,,tesco,95.92,No Risk
4,101531259.0,9,0,8,5,,tesco,125.94,No Risk
5,101531259.0,9,0,31,7,,brilliantbrushes,8.49,No Risk
6,101531259.0,9,6,3,12,,brilliantbrushes,7.98,No Risk
7,101531259.0,10,0,5,6,,fatface,47.5,No Risk
8,101531259.0,11,0,5,6,,topshop,70.0,No Risk
9,101531259.0,11,1,8,8,,matalan,150.5,No Risk
10,101531259.0,11,6,7,5,,fivesensesart,39.97,No Risk
11,101531259.0,12,0,5,6,,topshop,148.5,No Risk
12,101531259.0,12,2,22,2,,tesco,100.65,No Risk
13,101531259.0,12,6,4,6,,tesco,38.86,No Risk
14,101531259.0,13,0,6,2,,tesco,154.23,No Risk
15,101531259.0,13,0,12,6,,tesco,104.0,No Risk
16,101531259.0,13,5,29,4,,tesco,88.66,No Risk
17,101531259.0,13,6,20,8,,tesco,127.54,No Risk
18,101531259.0,14,5,4,11,,tesco,73.32,Low Risk
19,101531259.0,15,6,1,1,,matalan,104.0,Low Risk
20,101531259.0,16,6,1,1,,topshop,99.5,Low Risk
21,101531259.0,21,2,8,3,,deliveroo,15.0,Low Risk
22,104832000.0,10,6,12,2,,tesco,77.94,No Risk
23,104832000.0,12,5,10,6,,deliveroo,33.13,No Risk
24,104832000.0,12,6,16,7,,tesco,41.2,No Risk
25,104832000.0,16,0,31,7,,tesco,47.74,No Risk
26,104832000.0,16,2,16,8,,tesco,18.08,No Risk
27,104832000.0,16,4,3,11,,tesco,26.75,No Risk
28,104832000.0,17,4,28,4,,tesco,34.09,No Risk
29,104832000.0,17,5,7,1,,etsy,1.06,No Risk
30,104832000.0,18,0,19,6,,tesco,54.17,No Risk
31,104832000.0,18,0,30,1,,tesco,41.06,No Risk
32,104832000.0,18,1,2,5,,tesco,106.27,No Risk
33,104832000.0,18,1,23,5,,tesco,65.7,No Risk
34,104832000.0,18,1,27,6,,tesco,33.64,No Risk
35,104832000.0,19,1,29,8,,tesco,15.97,No Risk
36,105375973.0,5,4,17,2,,etsy,48.86,No Risk
37,105375973.0,9,0,31,7,,sportsdirect,53.11,No Risk
38,105375973.0,9,4,24,3,,fatface,149.09,No Risk
39,105375973.0,10,0,4,9,,selfridges,123.89,No Risk
40,105375973.0,10,3,26,1,,blackwell's,31.95,No Risk
41,105375973.0,10,3,31,8,,sportsdirect,44.06,No Risk
42,105375973.0,10,4,24,3,,fatface,48.29,No Risk
43,105375973.0,10,4,24,3,,topshop,96.56,No Risk
44,105375973.0,10,6,30,4,,blackwell's,33.02,No Risk
45,105375973.0,12,2,5,7,,fatface,135.04,No Risk
46,105375973.0,12,6,3,12,,sportsdirect,66.17,Low Risk
47,105375973.0,13,0,4,9,,selfridges,88.86,No Risk
48,105375973.0,13,4,30,6,,sportsdirect,90.17,No Risk
49,105375973.0,14,0,1,5,,fittedstitch,350.66,No Risk
50,105375973.0,14,0,4,9,,fittedstitch,130.19,No Risk
51,105375973.0,15,0,4,9,,selfridges,53.89,No Risk
52,105375973.0,15,4,24,3,,fittedstitch,151.19,No Risk
53,105375973.0,16,0,23,1,,topshop,28.15,No Risk
54,105375973.0,17,0,4,9,,selfridges,243.57,No Risk
55,105375973.0,17,4,24,3,,fatface,196.7,No Risk
56,105375973.0,18,2,11,1,,lloydspharmacy,69.03,No Risk
57,106601471.0,6,5,16,9,,matalan,50.45,No Risk
58,106601471.0,9,0,16,1,,blackwell's,15.98,No Risk
59,106601471.0,9,1,12,9,,amazon,25.02,No Risk
60,106601471.0,13,1,13,6,,blackwell's,9.99,No Risk
61,106601471.0,15,0,12,6,,revella,54.65,No Risk
62,106601471.0,15,1,14,2,,fatface,197.5,No Risk
63,106601471.0,16,6,12,11,,cooplocal,16.16,No Risk
64,106601471.0,17,1,14,2,,fatface,176.5,No Risk
65,106601471.0,17,2,6,9,,revella,146.3,No Risk
66,106601471.0,17,2,29,11,,boots,7.99,No Risk
67,106601471.0,17,3,17,8,,blackwell's,40.99,No Risk
68,106601471.0,17,3,26,1,,blackwell's,29.95,No Risk
69,106601471.0,17,4,22,9,,etsy,33.76,No Risk
70,106601471.0,17,4,31,3,,tesco,79.95,No Risk
71,106601471.0,18,2,6,9,,fatface,181.3,No Risk
72,106601471.0,18,4,1,12,,justeat,36.5,No Risk
73,106601471.0,20,0,26,6,,tesco,15.31,No Risk
74,108481285.0,1,0,19,6,,amazon,1.97,No Risk
75,108481285.0,3,1,10,10,,revella,30.95,No Risk
76,108481285.0,3,3,23,11,,boots,2.43,No Risk
77,108481285.0,3,5,1,7,,selfridges,44.47,No Risk
78,108481285.0,3,6,3,9,,sainsburylocal,5.3,No Risk
79,108481285.0,4,1,5,12,,amazon,38.87,No Risk
80,108481285.0,4,5,18,11,,matalan,5.37,No Risk
81,108481285.0,5,2,27,9,,boots,47.04,No Risk
82,108481285.0,5,4,6,10,,tesco,25.6,No Risk
83,108481285.0,5,4,28,7,,amazon,30.09,No Risk
84,108481285.0,5,6,24,9,,revella,28.61,No Risk
85,108481285.0,6,1,25,7,,selfridges,34.31,No Risk
86,108481285.0,6,1,28,11,,matalan,9.99,No Risk
87,108481285.0,6,5,21,10,,amazon,4.34,No Risk
88,108481285.0,6,5,26,8,,looselyfitted,6.44,No Risk
89,108481285.0,6,6,8,10,,topshop,12.34,No Risk
90,108481285.0,6,6,25,6,,amazon,31.11,No Risk
91,108481285.0,7,5,19,8,,revella,38.81,No Risk
92,108481285.0,7,6,13,8,,revella,8.8,No Risk
93,108481285.0,8,5,9,9,,amazon,3.23,No Risk
94,108481285.0,8,5,11,11,,amazon,79.33,No Risk
95,108481285.0,9,5,25,11,,sportsdirect,135.12,Medium Risk
96,108481285.0,9,6,9,4,,fatface,151.16,No Risk
97,108481285.0,11,6,10,9,,amazon,25.23,No Risk
98,108481285.0,12,5,26,8,,sportsdirect,12.99,No Risk
99,108481285.0,12,6,13,8,,theworks,23.96,No Risk
100,108481285.0,12,6,16,4,,sportsdirect,61.99,No Risk
101,108481285.0,14,5,2,12,,blackwell's,32.98,No Risk
