Account No,total_transactions,total_payments,median_payment,mean_payment,business_interactions,user_interactions
101531259.0,11,16967.5,1542.5,1542.5,['Hobbycraft'],[]
104832000.0,14,20550.0,1675.0,1467.857142857143,['A Yarn Story'],[587923845.0]
105375973.0,10,9000.0,900.0,900.0,[],[709632525.0]
106601471.0,11,18425.0,1675.0,1675.0,['Hobbycraft'],[]
108481285.0,23,25104.0,640.0,1091.4782608695652,['Happy Days Home'],[913801979.0]
108563213.0,11,41239.0,3749.0,3749.0,['LBG'],[]
108812033.0,11,9130.0,830.0,830.0,[],[386277162.0]
108931112.0,12,53519.0,4779.0,4459.916666666667,['Remedy plus care'],[646840694.0]
111137699.0,12,20100.0,1675.0,1675.0,['Tesco'],[]
113747882.0,12,28425.0,2475.0,2368.75,['Halifax'],[633345190.0]
116169597.0,15,19217.5,1542.5,1281.1666666666667,['Hobby Lobby'],[846550094.0]
116598243.0,14,22872.0,1706.0,1633.7142857142858,['Westport Care Home'],[383625050.0]
117273481.0,11,37136.0,3376.0,3376.0,['CPA'],[]
117308635.0,14,17550.0,1200.0,1253.5714285714287,[],[255814263.0]
119943495.0,11,4400.0,400.0,400.0,[],[352899149.0]
119993184.0,12,20544.0,1712.0,1712.0,['Westport Care Home'],[]
120634201.0,11,28611.0,2601.0,2601.0,['Lloyds Pharmacy'],[]
121113546.0,14,5250.0,410.0,375.0,[],[490790931.0]
121858569.0,11,41250.0,3750.0,3750.0,['Lloyds Pharmacy'],[]
122884111.0,9,15180.0,1820.0,1686.6666666666667,[],[924045955.0]
124102251.0,12,22999.199999999997,1916.6,1916.5999999999997,['Starbucks'],[]
124125096.0,14,32709.92,2641.66,2336.422857142857,['Sunny Care Nursery'],[514362267.0]
126929801.0,11,20267.5,1842.5,1842.5,['Jollyes'],[]
127809299.0,21,12060.0,580.0,574.2857142857143,[],[876890798.0]
128030172.0,12,3360.0,280.0,280.0,[],[550644516.0]
128033695.0,12,19441.199999999997,1620.1,1620.0999999999997,['Costa Coffee'],[]
129018172.0,12,32442.6,2916.6,2703.5499999999997,['Pets at Home'],[541639148.0]
130154096.0,12,30668.0,2708.0,2555.6666666666665,['LBG'],[799861885.0]
