Date,Timestamp,Account No,Balance,Amount,Third Party Account No,Third Party Name,Datetime
01/01/2023,00:00:00,678330503.0,2971.0,1584.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,472213568.0,3792.0,1950.0,,Barbiee Boutique,2023-01-01 00:00:00
01/01/2023,00:00:00,283027736.0,1787.0,780.0,472213568.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,624500124.0,3226.0,1825.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,203466392.0,4607.66,2841.66,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,768271776.0,3620.0,1950.0,,A Cut Above,2023-01-01 00:00:00
01/01/2023,00:00:00,215404070.0,1965.0,780.0,768271776.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,456221621.0,2831.0,1675.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,350921975.0,2458.5,1842.5,,Brilliant Brushes,2023-01-01 00:00:00
01/01/2023,00:00:00,455831435.0,3253.1,1620.1,,Costa Coffee,2023-01-01 00:00:00
01/01/2023,00:00:00,442079728.0,2426.0,650.0,455831435.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,832564361.0,5376.0,3542.0,,Premier Finance,2023-01-01 00:00:00
01/01/2023,00:00:00,407574996.0,3151.0,1609.0,,Fat Face,2023-01-01 00:00:00
01/01/2023,00:00:00,172084472.0,2449.0,1943.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,407574996.0,4451.0,1300.0,172084472.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,442070890.0,4074.1,2648.1,,Lavender Primary,2023-01-01 00:00:00
01/01/2023,00:00:00,605711527.0,1928.0,660.0,442070890.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,744968736.0,3154.0,1584.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,865748375.0,4607.0,2773.0,,A Cut Above,2023-01-01 00:00:00
01/01/2023,00:00:00,548907062.0,2513.0,690.0,865748375.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,522188082.0,3611.0,2780.0,,Tesco,2023-01-01 00:00:00
01/01/2023,00:00:00,786141370.0,3066.0,1943.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,616924659.0,4292.0,2780.0,,North Face,2023-01-01 00:00:00
01/01/2023,00:00:00,979135922.0,3942.0,2220.0,616924659.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,370757362.0,3288.0,1675.0,,Craftastic,2023-01-01 00:00:00
01/01/2023,00:00:00,399144202.0,2860.0,1833.0,,Fitted Stitch,2023-01-01 00:00:00
01/01/2023,00:00:00,637433131.0,2266.0,1706.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,754141345.0,3820.0,1943.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,412823730.0,1786.0,780.0,754141345.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,119993184.0,3418.0,1712.0,,Westport Care Home,2023-01-01 00:00:00
01/01/2023,00:00:00,384497904.0,1732.0,430.0,119993184.0,,2023-01-01 00:00:00
01/01/2023,00:00:00,298000165.0,6040.0,4167.0,,Selfridges,2023-01-01 00:00:00
